,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
980,Pin3appl3boy,2023-03-07 22:12:56+00:00,2,Twitter Web App,"-said ""meh idc""

He opened my phone after he struggled for 20 minutes to get the pin right (my pin is also 9 miles long), and he said ""WHAT THE FUCK""

and i said ""Te dije que estaba en holandés, idiota."" (which translates to 'I told you it was in Dutch, idiot.' in Spanish,-",0,1,17.0
981,Pin3appl3boy,2023-03-07 22:12:56+00:00,3,Twitter Web App,"sometimes i put my twitter into languages i dont understand

its in spanish rn but at least i understand it. One day, i put it into Dutch which i HARDLY understand, a friend came up to me and asked ""hey can i see ur phone rq"" and i said ""pfft yea but its all in dutch"" and he-",0,1,23.0
982,SpicyPineAppl3,2023-03-07 22:12:14+00:00,0,Twitter for Android,❤️ https://t.co/HaTyvEpZdm,0,0,18.0
983,daytradingmc,2023-03-07 22:10:45+00:00,1,Twitter Web App,"Apple, Amazon and Nvidia. The key companies that will move in 2023
$USD  $APPL $AMZN $NVDA",0,0,130.0
984,SpicyPineAppl3,2023-03-07 22:09:42+00:00,0,Twitter for Android,"@ly_eiih It takes a while for meds to make an effect, when did you take them?",0,1,13.0
985,Maximus163,2023-03-07 22:08:42+00:00,0,Twitter for iPhone,@Ibelievethefed Haha she trying to ship $APPL &amp; $TSLA. Their couple name could be Assla,0,0,162.0
986,ken_beck19,2023-03-07 22:08:20+00:00,0,LinkedIn,"Choose your own boss (hint: it's you!)
My life changed for the better when I chose to take control of my career.
I now get to help families find financial security while making my own schedule with Primerica.
#entrepreneurlife #career #helpingpeople #appl…https://t.co/0OiyO5gvfl",0,0,1.0
987,appl3greentea,2023-03-07 22:05:16+00:00,55,Twitter for Android,why so pretty :3 https://t.co/NrVn6553nv,7,0,835.0
988,eriklemusre,2023-03-07 22:04:18+00:00,0,Back At You,"📍 New Listing 📍 Take a look at this fantastic new property that just hit the market located at 0 Choco Rd. in Apple Valley. Reach out here or at (760) 503-5075 for more information!

Listed by Bob Basen

#eriklemusrealtor #appl... https://t.co/9CxmnkHrvP https://t.co/ly4P7Y61AG",0,0,3.0
989,jobsRmine,2023-03-07 22:00:44+00:00,0,jobsRmine SMM,"#hiring  *Senior Developer*, Guildford, *United Kingdom*, £550/day, fulltime #jobs #jobseekers #careers £550/day #Guildfordjobs #SouthEastjobs #I.T. &amp; Communications  #outsideir35 #contractors 

*Appl https://t.co/1qbnwNiH6q",0,0,9.0
990,aAppL_,2023-03-07 22:00:41+00:00,2,Nintendo Switch Share,#PokemonUNITE #NintendoSwitch https://t.co/EVMImYfKgR,1,0,47.0
991,Pin3appl3boy,2023-03-07 21:59:52+00:00,0,Twitter Web App,@tonakitten @k0lexz i know ur busy all the time so now i TARGET you in a friendly itd be funny way,0,1,51.0
992,timmypuffedit,2023-03-07 21:58:54+00:00,0,Twitter for Android,$appl is trash and just owned yall lol they unleashed a YELLOW phone today lmao innovation my ass,0,0,113.0
993,FldApplEngr,2023-03-07 21:58:17+00:00,0,Twitter for Android,@neuraum https://t.co/4ZUrHkwA8w,0,0,47.0
994,Pin3appl3boy,2023-03-07 21:54:19+00:00,0,Twitter Web App,its rlly telling me british english is wrong what if i wrote the whole thing in spanish? wattpad you would explode. https://t.co/tI25ECItqO,0,0,30.0
995,SpicyPineAppl3,2023-03-07 21:54:17+00:00,0,Twitter for Android,@ly_eiih Because they have issues with themselves:/,0,1,11.0
996,highmix,2023-03-07 21:53:49+00:00,3,TweetDeck,"株式投資ブログ「かぶしきめいかいは」更新！

【保有米国株成績 3/7の成績】

続落

https://t.co/Immroo7k16

#ブログ更新 #株式投資 #米国株 #nasdaq $ADBE $ETSY $VZ $AMD $U $TSLA $VIG $VTI $FCX $AI $COST $NVDA $TDOC $DOCU $SPYD $PYPL $TSM $APPL $PG $KMI",1,1,614.0
997,J4piter_Appl3,2023-03-07 21:52:43+00:00,0,Twitter for Android,@dudaxxxsan_ *ficante,0,1,23.0
998,J4piter_Appl3,2023-03-07 21:52:38+00:00,1,Twitter for Android,@ciosear Aqui o tutorial https://t.co/6ZXJBU4Rou,1,1,33.0
999,FldApplEngr,2023-03-07 21:51:23+00:00,1,Twitter for Android,@Mudvex @herovych @frrischkaese Без шансов. Тут свой таз нужен,0,1,25.0
1000,FldApplEngr,2023-03-07 21:50:42+00:00,2,Twitter for Android,"@nnikitosina @tarbs8 Плати нолог и не пизди, гастарбайтер!!!11",0,1,66.0
1001,FldApplEngr,2023-03-07 21:49:41+00:00,0,Twitter for Android,"@Mudvex @herovych @frrischkaese Приезжай в гости, у нас вино кисленькое 🥰",0,1,24.0
1002,Pin3appl3boy,2023-03-07 21:49:21+00:00,0,Twitter Web App,"yes our twitter is in spanish why are you surprised. if you are, you shouldn't be. https://t.co/TycyZ13vsr",0,0,23.0
1003,FldApplEngr,2023-03-07 21:48:29+00:00,1,Twitter for Android,"@Mudvex @herovych @frrischkaese Baden-Württemberg, где швабы живут же",0,1,19.0
1004,I_Am_ApplSawce,2023-03-07 21:48:17+00:00,1,Twitter for iPhone,Stream went down randomly but I’m back,0,0,16.0
1005,Pin3appl3boy,2023-03-07 21:45:45+00:00,0,Twitter Web App,@wilburholdthing i literally get the autism diagnosis on every quiz ever/pos https://t.co/2117XXGEyg,0,0,9.0
1006,FldApplEngr,2023-03-07 21:44:50+00:00,1,Twitter for Android,@herovych Давай на ларёк скинемся?,0,1,84.0
1007,Appl3soup,2023-03-07 21:43:52+00:00,0,Twitter for Android,Whyyy am i stupid https://t.co/cFiQLs6NG6,0,0,16.0
1008,Pin3appl3boy,2023-03-07 21:42:09+00:00,0,Twitter Web App,DONT EVEN WHAT THE HELL IS WRONG W/ TOMMY &gt;:[ https://t.co/31WqlSdl4Y,0,0,8.0
1009,TheCasa_KSU,2023-03-07 21:41:29+00:00,0,Twitter for iPhone,@BarstoolBigCat https://t.co/gpyZkAIcvE,0,0,181.0
1010,GoIdenAppIeMod,2023-03-07 21:41:17+00:00,0,Twitter for Android,@Harryboithedumb God,0,0,36.0
1011,Appl3soup,2023-03-07 21:41:12+00:00,0,Twitter for Android,So absinthe is a real thing and not just the name of a song from idkhow ?,0,2,54.0
1012,FldApplEngr,2023-03-07 21:40:44+00:00,4,Twitter for Android,@Net_gover @Mensch_bleiben Это из рогозина вытащили?,0,2,78.0
1013,yamada_appl,2023-03-07 21:40:08+00:00,2,Twitter for iPhone,つら,0,0,32.0
1014,yamada_appl,2023-03-07 21:40:03+00:00,2,Twitter for iPhone,やべ昨日消化忘れたわ,0,0,50.0
1015,FldApplEngr,2023-03-07 21:38:17+00:00,3,Twitter for Android,"@yulya_kebab Так, ладно. Ты уже попробовала крону на вкус языком?? https://t.co/0Lzoxg1wtH",0,1,171.0
1016,WireAsian,2023-03-07 21:37:32+00:00,0,Jetpack.com,chemically-modified-nanosheets-are-effective-for-biomedical-appl https://t.co/VdhHm6OHR1,0,0,
1017,ApplPartsPros,2023-03-07 21:35:12+00:00,0,Hootsuite Inc.,"The wrong dryer setting can shrink or stretch your favorite shirt or permanently set a stain in an expensive dress. Luckily, you’ve got https://t.co/0qY8YgXoLJ on your side. Check out our article to learn even more about your dryer’s bells and whistles. https://t.co/nokjSvgGd1 https://t.co/eQIgl4hMpJ",0,0,8.0
1018,SabineWalkerNo2,2023-03-07 21:34:51+00:00,1,Twitter for iPhone,"@AletheiaHappy @DrEliDavid Kann ja sein das diese Person doch eine biologische Frau ist …mit mehr Haare (wegen mehr Testosteron) als andere Frauen?🤷🏻‍♀️
So wie diese Frau?
⬇️
In diese Welt gibt es biologische Frauen (egal wie männlich sie aussehen-find ich gut)
und 39 andere Genders😉
https://t.co/xgm92DKkLE",0,0,26.0
1019,GoIdenAppIeMod,2023-03-07 21:33:16+00:00,0,Twitter Web App,"follow him, let me die already until the ""mod"" gets released",0,1,72.0
1020,Nestuo_,2023-03-07 21:29:19+00:00,0,Twitter Web App,@nrds57 @f4iryfraiz @soufianetyb j'appl pas mon gourou j'm'en blc juste lache moi la queue espece d'sdf humain j'ai pas envie qu'on désinforme en montrant que je suis juste un merdeux qui cherche a faire la bagarre avec un mec malezan,0,1,34.0
1021,Appl_75,2023-03-07 21:24:39+00:00,0,Twitter for iPhone,@RealOlaudah Very proud of you learned silk.,0,0,19.0
1022,appl3greentea,2023-03-07 21:22:20+00:00,3,Twitter for Android,@m4rstons what?? that's pretty cool i guess i'll have to buy it then,0,0,69.0
1023,FldApplEngr,2023-03-07 21:21:51+00:00,0,Twitter for Android,@illuzia_moxito Красные,0,0,51.0
1024,ask4nitza,2023-03-07 21:21:50+00:00,0,Twitter Web App,"FOR RENT $2500/MONTH
2/2.5 corner TH, gated comm. Updated Kit-GRANITE COUNTERS,SS APPL, full size SS W/D, no carpet. Min 680 credit for all occupants 18+.1st &amp; last month+1 month security dep .Renters ins required. No pets. NITZA RAMOS,EAST COAST REALTY GROUP LLC, (D)954-856-3156 https://t.co/CXKiBcYlJk",0,0,8.0
1025,Appl_75,2023-03-07 21:17:50+00:00,0,Twitter for iPhone,@HEDankwambo Congratulations Your excellency.,0,0,15.0
1026,Appl_75,2023-03-07 21:16:55+00:00,0,Twitter for iPhone,@ShehuSani No rest for the thief.,0,0,37.0
1027,kclonazepam,2023-03-07 21:16:41+00:00,1,Twitter for iPhone,"@repugnant_kitty @ano_rexycat n sei se funciona assim nesse, mas no appl&amp; wat1ch é so favoritar a foto q vc quer",0,0,21.0
1028,appl3sauc31,2023-03-07 21:16:29+00:00,0,Twitter for Android,@AndicaSmokes420 @UBUNGprerolled @SnoopDogg @WilEHaze,0,0,10.0
1029,FldApplEngr,2023-03-07 21:15:11+00:00,2,Twitter for Android,"@frisson_s Пиздец, надеюсь, ты своего бывшего немца пиздила",0,0,51.0
1030,APPL3WH1TE,2023-03-07 21:14:25+00:00,0,Twitter for Android,@ttsversion Sinto muito :(,0,0,5.0
1031,FldApplEngr,2023-03-07 21:13:43+00:00,3,Twitter for Android,@illuzia_moxito 14 ясен хуй,0,1,383.0
1032,I_Am_ApplSawce,2023-03-07 21:12:40+00:00,1,Streamlabs Twitter,"Crazy Craft Modded Minecraft Stream #2 
Im streaming right now.
https://t.co/kb7Ty0hLlD
https://t.co/Sj05BdNU0P

https://t.co/kuVDkEY9LN",0,0,15.0
1033,FldApplEngr,2023-03-07 21:11:54+00:00,3,Twitter for Android,@din_alt1 @Net_gover Да дай ты ему пизды тапком в конце-то концов!!,0,1,91.0
1034,AndroidEatAppl,2023-03-07 21:07:59+00:00,1,Twitter for Android,@LeontiCap Durable,0,1,12.0
1035,SabineWalkerNo2,2023-03-07 21:06:11+00:00,0,Twitter for iPhone,"OK, so would you REALLY take another Covid #boostershot , or any other #mRNAshot for that matter, from this guy??",0,0,8.0
1036,xAPPLExJACKx,2023-03-07 21:05:03+00:00,0,Twitter for Android,@KensethFan17_20 I'm doing this tonight,0,0,132.0
1037,FldApplEngr,2023-03-07 21:04:00+00:00,1,Twitter for Android,"@katjuschennka Нихуя себе, после литра пива ещё бутылку вина всадила?? Всё идеально 👌🏿",0,1,25.0
1038,SkyhawkAggie,2023-03-07 21:01:31+00:00,5,Twitter for iPhone,"Congratulations to @utmalumni in Agribusiness and former @utmmanrrs Chapter President, Justin Foulks, the new @utextension Ag. Agent in Lake County!  #beUTMproud  #BeOneUT
https://t.co/KcDv5a71fh",3,0,298.0
1039,jobsRmine,2023-03-07 21:01:10+00:00,0,jobsRmine SMM,"#hiring  *Electrical Design Engineer FTC*, Ossett, *United Kingdom*, £70K, contract #jobs #jobseekers #careers £70K #Ossettjobs #Yorkshirejobs #Engineering  #outsideir35 #contractors 

*Appl https://t.co/81eGoyMIFR",0,0,9.0
1040,NonAppl26685673,2023-03-07 21:00:49+00:00,1,Twitter Web App,"@SCShipyards So they develop The Missile like 500 years earlier, only to regress back to pre-Missile standards. Why am I not surprised?
https://t.co/i8KC1ur4R4",0,1,23.0
1041,appl3sauc31,2023-03-07 21:00:22+00:00,0,Twitter for Android,@koalapuffss When one just ain't enough https://t.co/zdcHI9iQX0,0,0,49.0
1042,ThunderousAppl4,2023-03-07 20:57:24+00:00,0,Twitter Web App,"@Liz_Cheney Sure, that's what happens when a few bad eggs among the cops are inciting riots. The video aired shows what happened AFTER they weren't causing problems any longer. It's not much which is why you couldn't come up with anything more than unlawful parading. Your life is depressing.",0,0,6.0
1043,technolibrary,2023-03-07 20:54:38+00:00,9,Twitter Web App,"@dellavolpe Polls show Gen Z is asking for things school isn't providing, like financial education, preparation for college appl, life.  #txlege #SXSWEDU",6,1,615.0
1044,FldApplEngr,2023-03-07 20:53:46+00:00,1,Twitter for Android,@katjuschennka Какое? 😅,0,2,15.0
1045,SpicyPineAppl3,2023-03-07 20:52:06+00:00,0,Twitter for Android,"@M3SMER1ZE Relatable, mine don't stop bleeding in like 10-20 mins 😭",0,0,13.0
1046,ThunderousAppl4,2023-03-07 20:51:47+00:00,0,Twitter Web App,"She's such a waste of space. 
The conflict was with the police who were inciting the riot, once protestors got past the police, everything was calm. That's what I see with my own eyes.",0,0,39.0
1047,P1nn3appl3pizz4,2023-03-07 20:51:45+00:00,1,Twitter for Android,"@sofiaespanha a única coisa que eu entendi foi :
o que vc prefere? loiras ou loiras",0,0,254.0
1048,SpicyPineAppl3,2023-03-07 20:51:01+00:00,1,Twitter for Android,@bonerstoner666 Big yes,0,0,8.0
1049,aAppL_,2023-03-07 20:49:56+00:00,0,Nintendo Switch Share,brrrrrrrr #PokemonUNITE #NintendoSwitch https://t.co/OE1og4HinF,0,0,26.0
1050,aAppL_,2023-03-07 20:48:42+00:00,0,Nintendo Switch Share,bonk #PokemonUNITE #NintendoSwitch https://t.co/YflpadQLfl,0,0,23.0
1051,Pin3appl3princ3,2023-03-07 20:48:26+00:00,1,Twitter for iPhone,@Nami_Miyahara It do be like that,0,0,51.0
1052,iTradeNaked,2023-03-07 20:42:52+00:00,0,Twitter Web App,"lmfao bulls scrambling rn
$SPY $SPX $QQQ $ES $APPL $TSLA https://t.co/M7nl8NrpQQ",1,0,114.0
1053,NonAppl26685673,2023-03-07 20:41:55+00:00,1,Twitter Web App,"@whatifalthist Woah, now!
If you keep asking rhetorical questions like that, they might get around to reading The True Levellers Standard Advanced, or something!

And then all these humies will start digging up all our well-trimmed bougie lawns again! Sad!
(ಥ ~ ಥ )",0,0,257.0
1054,FldApplEngr,2023-03-07 20:38:01+00:00,1,Twitter for Android,@katjuschennka Ну такое https://t.co/1zyFQVK4fX,0,1,17.0
1055,appl_juice42,2023-03-07 20:36:39+00:00,8,Twitter Web App,Did a quick photo sesh with the boi🐱 https://t.co/4b5JYc0S9q,0,0,273.0
