,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
20,Oxbay_cityx99,2023-03-01 23:29:26+00:00,1,Twitter for Android,@Altcoin_Flow @kapoor_anuj12 Congrats,0,1,43.0
21,RaynerRainMaker,2023-03-01 23:29:01+00:00,1,Twitter Web App,"The Weather gave this #altcoin #Crypto banger | 170% on the wick bang bang 
https://t.co/NRZzgBw5tl https://t.co/8cpTfK0om4",0,0,42.0
22,RaynerRainMaker,2023-03-01 23:26:51+00:00,2,Twitter Web App,"We gave you this #altcoin #Crypto setup in our Discord trading group, up 77% on the wick | https://t.co/NRZzgBw5tl https://t.co/VM2AUnzdP1",0,0,64.0
23,DropTownSaloon,2023-03-01 23:24:40+00:00,1,droptown,"Silvergate Uncertainties May Put TradFi Heavy Hitters' Stakes in Jeopardy - 

https://t.co/KOPf5XH3Tm

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #CNFTCommunnity https://t.co/YUVG9k5To4",0,0,37.0
24,CatvillsXQuack,2023-03-01 23:24:24+00:00,5,Twitter for Android,"Wednesday, 01/03/2023 🏷️

The best altcoin for me is #RichQUACK token. I have been eyeing these projects even since last year. They were designed to make a big contribution to the revamped crypto industry! 

***
⚜️💠 $QUACK $BTC #CatvillsCoin $BNB 💠⚜️ https://t.co/HZvwzosIUB",5,0,31.0
25,RaynerRainMaker,2023-03-01 23:23:27+00:00,1,Twitter Web App,"We gave you this #altcoin #Crypto setup in our Discord trading group, up 44% on the wick | https://t.co/NRZzgBw5tl https://t.co/T9kcgiDCIS",0,0,51.0
26,soapgawdstv,2023-03-01 23:23:07+00:00,8,Twitter Web App,A.I ALTCOIN GEM FINDER. LETS ARTIFICIAL INTELLIGENCE  #dogelon #tonic #h... https://t.co/enRgBFuJ6C via @YouTube WE LIVE FAMILY $elon,4,0,399.0
27,ColinMc99043404,2023-03-01 23:23:02+00:00,0,Twitter Web App,"THIS ALTCOIN WILL 100X IN 2023!! 🚨 I INVESTED $100,000. MY NEXT 100X LOW... https://t.co/mNknujdUyi via @YouTube",0,0,8.0
28,RaynerRainMaker,2023-03-01 23:22:47+00:00,2,Twitter Web App,"We gave you this #altcoin #Crypto setup in our Discord trading group, up 59% on the wick | https://t.co/NRZzgBw5tl https://t.co/S7C7m0QjA1",0,0,55.0
29,RaynerRainMaker,2023-03-01 23:21:40+00:00,1,Twitter Web App,"We gave you this #altcoin #Crypto setup in our Discord trading group, up 39% so far | https://t.co/NRZzgBw5tl https://t.co/cacIs38QjW",0,0,42.0
30,TheDripStar,2023-03-01 23:20:12+00:00,0,Drip Star,"Extra inexperienced instances for bitcoin, altcoin costs...   Cryptocurrency Sponsor https://t.co/mP69hKtfNf  https://t.co/5rowFo54Wl",0,0,3.0
31,the_unswerving,2023-03-01 23:18:20+00:00,1,TwinyBots,Zelle is total horseshit #Altcoin #bitcoin via https://t.co/yNOfVDx5DP https://t.co/zREah38TjP,0,2,15.0
32,NCakar,2023-03-01 23:17:38+00:00,1,Twitter Web App,"@CryptoPNZ ""altcoin boğa sezonu geliyor, bitcoin de buna izin vermiyor"" 😂😂😂",0,0,691.0
33,StackDotMoney,2023-03-01 23:17:02+00:00,0,Stack Social,"The team at @avalancheavax have been working hard. 239 commits in the past month.

$AVAX has one of the top developer ranks. #crypto #altcoin 

https://t.co/JYs5EuE2TT",0,1,131.0
34,lofi_death_nfts,2023-03-01 23:16:17+00:00,3,Twitter for iPhone,"🌘 R A I D E R - T O K E N  🌒
@RaiderToken #RaiderToken $RAID 

#web3 #Crypto #altcoin #raid #altcoins #DeFi #Coinbase #cryptonews #WHALES #bitcoin #cmc #investment #coin #love #positivity #token #RaiderNation #trendy #meta #GEM #ethereum #gemini #altcoinseason #nft #nfts https://t.co/H2ahm9F5WA",1,2,141.0
35,functi0nZer0,2023-03-01 23:15:42+00:00,69,Twitter Web App,"Finally back in the altcoin pits for the first time in about eight months

Send everything to Valhalla for no discernible reason please, my daughter needs nappies",0,8,6054.0
36,PartyGuy6969,2023-03-01 23:15:03+00:00,5,EverRiseTwitterBot1,#EverRise $RISE #EverRiseV3 #EverRevoke #DeFi #Crypto #Cryptocurrency #NFT_Stake #NFT_Stakes #Altcoin #NFTProject #EverBridge #NFTCommunity #EverRiseInu #Ethereum https://t.co/91S7IWzuzN,2,1,33.0
37,AmineCaprimen,2023-03-01 23:12:32+00:00,3,Twitter for iPhone,"#Crypto #altcoins #altcoin #eth #ETH 
#btc $btc #Bitcoin",0,3,146.0
38,Rizwanulhaqh75,2023-03-01 23:11:37+00:00,1,Twitter for Android,"Follow the link, download the B-Love Network App &amp; Get 500 BLV Tokens for Free by using this 

Referral Code: ONUCIMUXQD

https://t.co/TfmuMovITN…
                
 #blockchain #blovenetwork #love #India #NFTs  #Dogecoin #BTC   
#Ethereum #altcoin https://t.co/jwhlAZx7UB",1,1,59.0
39,OxSisemoxWin,2023-03-01 23:11:28+00:00,0,Twitter for Android,@Altcoin_Flow @kapoor_anuj12 Congratulations nularr,0,0,51.0
40,the_woke_boys,2023-03-01 23:08:19+00:00,0,Twitter for iPhone,@bitcoin_brown 100-300x 🙏 only the patient small cap altcoin investors will harvest the rewards in about 2 years,0,0,11.0
41,DropTownSaloon,2023-03-01 23:07:00+00:00,4,droptown,"Polygon [MATIC]: Can gaming activity improve DeFi woes? Decoding... - 

https://t.co/eUrCrQFs5D

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #CNFTCommunnity https://t.co/fjDWxppeoL",0,1,20.0
42,LinXBT,2023-03-01 23:06:05+00:00,4,Twitter Web App,"@MyFalseImage @abysstrades this just an example of altcoin flow tho - illiquid

the dynamics are different if u trade majors like btc n eth",0,0,91.0
43,MyDogeTip,2023-03-01 23:05:40+00:00,9,MyDogeTip,"Yeah, Robinhood's crypto wallet is here, but the only supported altcoin I care about is Dogecoin cuz it's just better than any of the others. #DogecoinFoLyfe 🚀

https://t.co/cYRBmFcdS4",0,1,441.0
44,Altcoin_Track,2023-03-01 23:05:07+00:00,1,Altcoin Track,$BAT 24h change 2.67% 🚀 #BAT,0,0,45.0
45,mertbrkr,2023-03-01 23:03:56+00:00,1,Twitter for iPhone,"@jimmylikoglu 😢 
Abi şu altcoin terbiye etmeyi bana da öğret",0,0,38.0
46,bitcoincryptonl,2023-03-01 23:03:19+00:00,1,Posts to zwitter,"Crypto plannen van Visa blijven intact ondanks geruchten - Crypto Insiders
https://t.co/WUgv6U0Sbb

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,58.0
47,bitcoincryptonl,2023-03-01 23:03:17+00:00,1,Posts to zwitter,"Dit is hoe Solana de aanhoudende problemen de das om wil doen - Crypto Insiders
https://t.co/s7LsZDUKZp

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,1,69.0
48,bitcoincryptonl,2023-03-01 23:03:17+00:00,1,Posts to zwitter,"AI munt op Cardano stijgt hard na Elon Musk uitspraken over ChatGPT - Crypto Insiders
https://t.co/ccXgCuGPFd

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,78.0
49,bitcoincryptonl,2023-03-01 23:03:15+00:00,1,Posts to zwitter,"Crypto markt bleef steken in februari, toch stegen deze koersen keihard - Crypto Insiders
https://t.co/s4lvDV4hSd

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,46.0
50,bitcoincryptonl,2023-03-01 23:03:11+00:00,1,Posts to zwitter,"Wie ben jij? Polygon ID kan je daar in ieder geval niet bij helpen - BLOX | Nieuws.
https://t.co/DfYMNUgXXY

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,49.0
51,bitcoincryptonl,2023-03-01 23:03:09+00:00,2,Posts to zwitter,"Bitcoin Starts March on the Right Foot. History Says It May Not End That Way.
https://t.co/Rmj7E2Zxam

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,1,47.0
52,bitcoincryptonl,2023-03-01 23:03:08+00:00,1,Posts to zwitter,"Nieuw bitcoin lesprogramma afgetrapt in El Salvador
https://t.co/Ral82q3InG

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,47.0
53,bitcoincryptonl,2023-03-01 23:03:08+00:00,1,Posts to zwitter,"Strateeg denkt niet dat Mt. Gox uitbetaling grote impact heeft op bitcoin
https://t.co/ZOBYYsEUB3

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,52.0
54,bitcoincryptonl,2023-03-01 23:03:07+00:00,1,Posts to zwitter,"Bitcoin update: koers veert iets op naar $23.700
https://t.co/RRlQBDib9z

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,43.0
55,bitcoincryptonl,2023-03-01 23:03:07+00:00,1,Posts to zwitter,"Op Nostr worden er al 10.000 bitcoin lightning zaps per dag verstuurd
https://t.co/MStUMZiUTv

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,44.0
56,bitcoincryptonl,2023-03-01 23:03:06+00:00,1,Posts to zwitter,"Nieuwe bitcoinbedrijven moeten aan strengere regels voldoen in Frankrijk
https://t.co/qoq6RzuCC5

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,1,39.0
57,bitcoincryptonl,2023-03-01 23:03:05+00:00,1,Posts to zwitter,"Glassnode: Meer dan 67.000 bitcoin adressen zijn meer dan $1 miljoen waard
https://t.co/HLnPr3U534

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,31.0
58,bitcoincryptonl,2023-03-01 23:03:00+00:00,1,Posts to zwitter,"Topcryptocurrencies verminderen winst door stijgende rente op Amerikaanse schatkistpapier na productiegegevens; Bitcoin houdt stand boven $23.000 - Marketscreener NL
https://t.co/5ytsnPo9OY

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocu...",0,0,36.0
59,bitcoincryptonl,2023-03-01 23:02:59+00:00,1,Posts to zwitter,"Nieuw bitcoin lesprogramma afgetrapt in El Salvador - Bitcoin Magazine NL
https://t.co/cNxk3lyCfG

#bitcoin #crypto #altcoin #BTC #ETH #blockchain #bitavo #binance #bitvavo #cryptocurrency",0,0,35.0
60,Ajda4884,2023-03-01 23:01:37+00:00,3,Twitter for Android,"@cryptogems555 @rfntoken If #SVPTOKEN will reach the 1st place, #BTC    will be considered an altcoin? 
@SVPToken",1,0,15.0
61,btcsentimentCOM,2023-03-01 23:01:37+00:00,0,myallseeingeye,"🐋 #Altcoins Whales Update 🐋

🚨 Last 4 hours of #Altcoin-Exchange transactions 🚨

When $-Value &gt; 0 = More deposits 📉
When $-Value &lt; 0 = More Withdrawals 📈

🤖 Automated-Tweet 🤖 https://t.co/eqgZpqZPSY",0,0,46.0
62,runbibot,2023-03-01 23:00:06+00:00,2,runbibotnow,"TOP performing altcoins in the last hour (2/2):

 $REN -&gt;  1.46% 
 $ZEC -&gt;  0.68% 
 $UNI -&gt;  0.23% 
 $XEM -&gt;  0.19% 
 $RVN -&gt;  0.19% 

 #crypto #altcoin #defi #NFT",0,0,161.0
63,runbibot,2023-03-01 23:00:05+00:00,3,runbibotnow,"TOP performing altcoins in the last hour (1/2):

 $FIL -&gt;  0.51% 
 $MATIC -&gt;  0.28% 
 $IOST -&gt;  0.25% 
 $EGLD -&gt;  0.24% 
 $DASH -&gt;  0.21% 

 #crypto #altcoin #defi #NFT",0,0,154.0
64,CryptoTopCharts,2023-03-01 23:00:00+00:00,1,CryptoWatcher_Pro,"Top #Cryptocurrency RANK UP (#crypto #bitcoin #altcoin):
$MKR+12 $STX+5 $CVX+5 $1INCH+5 $FXS+4 $FIL+3 $DYDX+3 $CFX+3 $APT+2 $SSV+2 $SNX+2 $CHZ+2 $LUNC+2 $NEO+2 $BIT+1 $HBAR+1 $AGIX+1 $AAVE+1 $ATOM+1
https://t.co/u2nM5wec1K",0,0,614.0
65,CryptoTopCharts,2023-03-01 23:00:00+00:00,1,CryptoWatcher_Pro,"Top #Cryptocurrency RANK DOWN (#crypto #bitcoin #altcoin):
$XEM-7 $KLAY-6 $IMX-4 $HT-3 $OSMO-3 $EGLD-3 $LRC-2 $LDO-2 $CAKE-2 $CRO-2 $WBTC-2 $USDP-2 $TUSD-1 $MINA-1 $APE-1 $XTZ-1 $GMX-1 $TWT-1 $EOS-1
https://t.co/u2nM5wdEcc",0,0,598.0
66,cowesion,2023-03-01 22:57:55+00:00,20,Twitter for iPhone,What #altcoin are the 🐳🐳🐳’s buying?,8,51,771.0
67,Euphoriana5,2023-03-01 22:57:00+00:00,0,Twitter for Android,@Altcoin_Flow @kapoor_anuj12 Congratsss❤,0,0,53.0
68,news_revive,2023-03-01 22:56:36+00:00,0,IFTTT,Ethereum DeFi Altcoin Explodes 140% After Surprise Support From Crypto Exchange Binance https://t.co/I8qe8AeLPQ,0,1,5.0
69,BTC_Std_Quotes,2023-03-01 22:54:49+00:00,5,Twitter for Android,"""No single altcoin has demonstrated anything near Bitcoin's impressive resilience to change, which is down to its truly decentralized nature and the strong incentives for everyone to abide by the status quo consensus rules.""

@saifedean 

#Bitcoin",0,0,197.0
70,_nekowo2,2023-03-01 22:52:12+00:00,1,Twitter for Android,"after enough trades, im going to share my altcoin @KyberNetwork trading strategy. So far have made 3 trades with 2 wins and 1 still holding",0,0,17.0
71,Cutie69696969,2023-03-01 22:50:59+00:00,0,Twitter for Android,"KIBA is so active

#KIBAINU #KIBA @KIBAINUWORLD @KIBAJOKER #BNB #ETH $KIBA #elon #elonmusk #BTC #altcoin #memecoin #gems #crypto @leinarcrypto https://t.co/rJ7IEyY8Aj",0,0,4.0
72,RaynerRainMaker,2023-03-01 22:48:43+00:00,2,Twitter Web App,$ILA #ILA USDT #Altcoin #Crypto #trading short update https://t.co/UBKci2iApA,0,1,160.0
73,bailoutbro,2023-03-01 22:48:20+00:00,0,ContentStudio.io,"According to Shibburn's Twitter account, a total of 4,719,423 SHIB tokens were burned and seven transactions were made in the last 24 hours. https://t.co/U5LSMWJaLC #altcoin #crypto #cryptocurrency #bitcoin",0,0,12.0
74,sennet_ai,2023-03-01 22:47:49+00:00,0,SennetEN,"🚨 Price pattern in $RNDR

Ascending channel on RNDRUSDT 5m chart.

More info at https://t.co/PCNaGeQiYM

#RenderToken #crypto #altcoin https://t.co/vZp31Qses8",0,0,87.0
75,DropTownSaloon,2023-03-01 22:47:45+00:00,4,droptown,"Bitcoin price searches for direction ahead of this week’s $710M BTC options expiry - 

https://t.co/aBpG5TOxff

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #CNFTCommunnity https://t.co/qzNF9Tu9vf",0,0,26.0
76,CryptoApofis1,2023-03-01 22:47:17+00:00,1,Twitter for iPhone,@MartiniGuyYT  $CAPS $UMB $VAI #x100 lets go 🔥💎👀🚀🚀🚀🚀 #bullish #altcoin,0,0,145.0
77,queen_altcoin,2023-03-01 22:47:02+00:00,1,Twitter for iPhone,@theCryptera @OpenAI It would generate a big return for them,0,0,7.0
78,PartyGuy6969,2023-03-01 22:45:03+00:00,2,EverRiseTwitterBot1,#EverRise $RISE #EverRiseV3 #EverRevoke #DeFi #Crypto #Cryptocurrency #BinanceSmartChain #BinanceSmartChain #Matic #BuildStuff #EverOwn #1000xgem #Altcoin #Rise https://t.co/7cBWImU62E,1,0,21.0
79,Wong_insight,2023-03-01 22:44:30+00:00,1,IFTTT,"‘Account abstraction’ supercharges Ethereum wallets: Dummies guide 

Ethereum’s just-launched ERC-4337 ‘account abstraction’ standard is a game changer for user-friendly crypto payments and mainstream adoption.

#Bitcoin #Altcoin https://t.co/piBw7CUlaa",1,1,65.0
80,BNB_Tracker,2023-03-01 22:44:00+00:00,0,Twitter Web App,"#BinanceCoin price update: $BNB

#BNB $301.76 USD

#Bitcoin 0.01285 BTC

#Ethereum 0.18274 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates",0,0,13.0
81,cryptoalerted,2023-03-01 22:42:59+00:00,1,Microsoft Power Platform,Hero Arena (HERA) went up 11.8 percent in the last 1 minutes on https://t.co/rgEAV9gIXu. #HERA  #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews,0,1,42.0
82,Frankie_Candles,2023-03-01 22:42:14+00:00,25,Twitter Web App,Live on twitter!! Head over to youtube if you wanna chat and get your #altcoin request in!! link in bio!!,3,7,2181.0
83,single__frauen,2023-03-01 22:39:59+00:00,8,Twitter Web App,"Malena85, 27 😄
➡️Chat mit Malena85 💬
Zum Profil: 👉 https://t.co/2LtLs8FkNx
#einermussdenjobjamachen #frohesneues #deutscheschäferhunde #altcoin https://t.co/vnZsis3Q0D",1,0,114.0
84,Naechance31,2023-03-01 22:39:25+00:00,0,Twitter for iPhone,@MartiniGuyYT Ffs is this the same altcoin  you said a hour ago,0,1,15.0
85,roccodallas,2023-03-01 22:36:34+00:00,0,dlvr.it,Polygon [MATIC]: Can gaming activity improve DeFi woes? Decoding… https://t.co/wdujepRgdA #Altcoin #News #News1 #Social https://t.co/gTDLrpJEgn,0,0,9.0
86,sabbaghi_atefeh,2023-03-01 22:35:00+00:00,2,Twitter Web App,"7/36    $QUACK #RichQUACK is most trusted altcoin right now ,,.",2,0,8.0
87,kriptogamze,2023-03-01 22:31:24+00:00,10,Twitter for Android,"0.28700 den #amb busd paritesi 7x büyük para ile longladim

#BTC #altcoin #kriptohaber",4,0,681.0
88,kriptokoin,2023-03-01 22:30:07+00:00,7,Jetpack.com,2023 İçin İlgi Çekici #Altcoin Tahminleri: Bu 5'i Şaşırtabilir! https://t.co/r202du3rqI,0,0,3335.0
89,DCA_Cryptoz,2023-03-01 22:30:03+00:00,3,CryptosBulls,"Altcoin current watchlist
 $ZRX
 $AGIX
 $BFC
 &amp; $LTC
#Altcoins are generally gaining strength

Always have a strategy &amp; a plan",0,0,306.0
90,GVRCALLS,2023-03-01 22:30:00+00:00,8,Twitter Web App,"#dock     #dockcoin  
  Trade Profits 01 March 2023 #cryptotrading
$DOCK ""Reversal""
Present Price - 0.025$
Future Price - 0.036$
Gain - 40%%+
Holding Time 12 - 23 days #LUNC #Binance   #cryptocurrency   #BTC             #altcoin #LUNCCcommunity #Solana #Floki https://t.co/QOjFzyiHbS",3,3,2338.0
91,DropTownSaloon,2023-03-01 22:29:41+00:00,1,droptown,"Ripple Lawyer Argues SEC Chair Gensler Has Prejudged Crypto Asset Cases – Bitcoin News - 

https://t.co/BNrhECsAZp

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #CNFTCommunnity https://t.co/vlyY7kBbNI",0,1,39.0
92,DropTownSaloon,2023-03-01 22:28:40+00:00,1,droptown,"Number of Bitcoin Wallets With At Least 1 BTC Could Soon Hit a Million – How Could That Impact the BTC Price? - 

https://t.co/rDVlQPHVKN

#Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin #AirDrop #NFTProject #NFTArtist  #NFTCommunity  #CNFT #C... https://t.co/ALtPU5vBRb",0,1,32.0
93,btcnewsapp,2023-03-01 22:27:27+00:00,0,BTCNewsApp,Ethereum DeFi Altcoin Explodes 140% After Surprise Support From Crypto Exchange Binance - The Daily Hodl via BTCnews for iOS https://t.co/QvqPffJ0xv,0,0,10.0
94,cryptoclickio,2023-03-01 22:27:18+00:00,0,Make (formerly Integromat),"🔥 ✴️ Orion Protocol, Still Early (Name Your Altcoin #59)❓ Check the post https://t.co/IQVvjYR2q4 #bitcoin @tradingview #crypto $btc #btc",0,1,60.0
95,BrandonLish,2023-03-01 22:26:30+00:00,0,Twitter for iPhone,"THIS ALTCOIN WILL 100X IN 2023!! 🚨 I INVESTED $100,000. MY NEXT 100X LOW... https://t.co/XNvGca6yYs via @YouTube",0,0,29.0
96,kararesurrect,2023-03-01 22:25:24+00:00,157,Twitter for Android,"Eight of my #altcoin picks are up big today!! I rarely brag, but I am the MFing #crypto GOAT. You can follow others and be homeless, or follow me and be rich. 
$zee $labs $eqz $fcl $fet $arx $fra $tel https://t.co/ICCwUDA8M8",20,54,38293.0
97,LepikInfo,2023-03-01 22:24:29+00:00,0,TwinyBots,Zelle is total horseshit #Altcoin #bitcoin via https://t.co/4dtOmVLK9w https://t.co/FkVfm8lT1J,0,0,14.0
98,JohnNakamoto_,2023-03-01 22:23:57+00:00,2,Twitter for iPhone,@Altcoin_Gold Lol 🤣,0,0,182.0
99,bitcoinpressuk,2023-03-01 22:23:07+00:00,0,dlvr.it,#BitcoinBasics #Altcoin #bearmarket What Is Bitcoin Taproot? Bitcoin Taproot Explained https://t.co/VwdYGGxp5F,0,0,14.0
100,CryptoNews_LIVE,2023-03-01 22:21:10+00:00,0,Crypto News Daily.se,"Bitcoin Price Prediction as BTC Spikes Up 2.2% – What Caused the Rally?
https://t.co/9JotNEp3uG 
Altcoin News https://t.co/7EmRNOveKc",0,0,24.0
101,DonachCZ,2023-03-01 22:20:17+00:00,0,Twitter Web App,"@21blacky Yeah the hype is real... Just as easy it was to multiply that, it can easily go out...
Just ""another altcoin"" going parabolic, before it crashes.
I've made some nice calls, even during last year's bear market, one coin made me ~10x, luckily pulled out fast enough, others didn't.",0,1,41.0
102,Breee_off,2023-03-01 22:19:33+00:00,0,Twitter Web App,"@bscwhalegems $AERGO, $SHIB and $AWO are the next big altcoin projects. 💰 💎  You should invest in these gems now and be one of the future millionaires.  🤑 🚀",0,0,58.0
103,Wong_insight,2023-03-01 22:18:50+00:00,0,IFTTT,"‘Account abstraction’ supercharges Ethereum wallets: Dummies guide 

Ethereum’s just-launched ERC-4337 ‘account abstraction’ standard is a game changer for user-friendly crypto payments and mainstream adoption.

#Bitcoin #Altcoin https://t.co/pdlPhV7eIj",0,0,20.0
104,Altcoin_Gold,2023-03-01 22:18:40+00:00,2,Twitter for Android,@NoHandsDegen 😂,0,0,40.0
